Date,TX60
1/19/2021 16:00:00,1066.73
1/20/2021 16:00:00,1068.94
1/21/2021 16:00:00,1063.01
1/22/2021 16:00:00,1058.57
1/25/2021 16:00:00,1060.79
1/26/2021 16:00:00,1052.18
1/27/2021 16:00:00,1029.47
1/28/2021 16:00:00,1046.82
1/29/2021 16:00:00,1026.6
2/01/2021 16:00,1044.68
2/02/2021 16:00,1059.25
2/03/2021 16:00,1060.75
2/04/2021 16:00,1068.98
2/05/2021 16:00,1073.65
2/08/2021 16:00,1084.4
2/09/2021 16:00,1089.65
2/10/2021 16:00,1092.53
2/11/2021 16:00,1091.04
2/12/2021 16:00,1095.14
2/16/2021 16:00:00,1097.48
2/17/2021 16:00:00,1091.68
2/18/2021 16:00:00,1086.72
2/19/2021 16:00:00,1092.87
2/22/2021 16:00:00,1094.24
2/23/2021 16:00:00,1090.58
2/24/2021 16:00:00,1098.86
2/25/2021 16:00:00,1084.27
2/26/2021 16:00:00,1073.42
3/01/2021 16:00,1087.89
3/02/2021 16:00,1096.58
3/03/2021 16:00,1090.22
3/04/2021 16:00,1079.69
3/05/2021 16:00,1096.72
3/08/2021 16:00,1101.5
3/09/2021 16:00,1107.82
3/10/2021 16:00,1113.61
3/11/2021 16:00,1121.45
3/12/2021 16:00,1121.71
3/15/2021 16:00:00,1128.08
3/16/2021 16:00:00,1123.74
3/17/2021 16:00:00,1130.83
3/18/2021 16:00:00,1124.56
3/19/2021 16:00:00,1124.15
3/22/2021 16:00:00,1121.45
3/23/2021 16:00:00,1115.77
3/24/2021 16:00:00,1114.68
3/25/2021 16:00:00,1115.42
3/26/2021 16:00:00,1120.51
3/29/2021 16:00:00,1119.87
3/30/2021 16:00:00,1118.86
3/31/2021 16:00:00,1117.15
4/01/2021 16:00,1133.01
4/05/2021 16:00,1135.31
4/06/2021 16:00,1138.25
4/07/2021 16:00,1141.5
4/08/2021 16:00,1145.19
4/09/2021 16:00,1145.49
4/12/2021 16:00,1145.77
4/13/2021 16:00:00,1145.02
4/14/2021 16:00:00,1143.56
4/15/2021 16:00:00,1152.02
4/16/2021 16:00:00,1153.58
